JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC100_DirectTempWrite,3380,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3303,3189,26712639426,12126430063,4968268507,156227632,328993138,47224776,10593,3629084430,693,25,2.20,3.48,3.41,0.24,0,21876624,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC101_ParseFrom65_VOID,4771,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3589,4203,27226634412,11975940491,5004836757,156423881,324108839,44557511,10520,4010097798,672,29,2.27,3.80,3.76,0.28,0,21877928,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC105_ParseTemp_95,3008,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3084,3194,25715241208,11744202246,4967280508,155267072,322547094,45228659,10568,3375269821,703,28,2.19,3.23,3.16,0.23,0,21877984,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC106_ParseTemp_105,3131,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3156,3172,26801625825,11817845343,5030455135,152981794,324098882,43901303,10525,3443662636,670,27,2.27,3.31,3.22,0.25,0,21879400,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC107_ParseTemp,3211,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3204,3267,27853169588,11952901046,5418666143,155438791,325256380,45688691,10620,3491157383,673,21,2.33,3.35,3.24,0.27,0,21879528,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC110_EqualsCitySplit,3197,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3139,3370,26447225047,11970402402,4932522833,156801243,324062188,45361417,10603,3436475101,671,24,2.21,3.28,3.20,0.25,0,21880272,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC111_EqualsCitySplit_Reverse,3240,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3195,3295,26872826293,12128336048,5160196102,153476317,333738066,45770781,10663,3497101305,656,26,2.22,3.34,3.26,0.26,0,21843888,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC112_EqualsCityMismatch,0,ERROR,0,0,222495470,280431074,41463726,3081131,5131569,4835467,8055,74943858,145,11,0.79,0.10,0.04,0.05,0,21878744,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC113_EqualsCityMismatchSimple,0,ERROR,0,0,215290505,275834872,42976525,3002134,5034809,4693731,8054,75217868,146,12,0.78,0.10,0.03,0.06,0,21849392,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260509-152436,org.onebrc.again26.BRC010_NoStream,25410,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,25791,29811,217359225167,93418647245,50519325765,322024117,1721567708,368274136,329884,26862872098,3923,486,2.33,26.07,25.54,1.46,77,21881328,0
