JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC014_NewParseDouble,140,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,151,74,1108505073,1581546316,211718521,11901617,30992213,21871007,10812,745232730,1267,151,0.70,0.54,0.60,0.19,0,21876248,0,0,21876248,0,0,21876248,0,0,21876248,0,0,21876248,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC015_ParseDoubleSimpler1,91,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,129,74,1166456648,1490712888,215436072,11880454,30696607,22046544,10812,687975815,881,129,0.78,0.39,0.57,0.15,0,21876040,0,0,21876040,0,0,21876040,0,0,21876040,0,0,21876040,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC016_NoExtraString,78,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,82,63,1131593547,1188292718,210315245,10768317,35017680,22534999,10652,443695742,893,58,0.95,0.26,0.37,0.10,0,21877296,0,0,21877296,0,0,21877296,0,0,21877296,0,0,21877296,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC017_ParseDoubleSimpler2,68,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,79,96,1135308792,1298529269,212666549,10890357,34298800,21602625,10471,464395770,856,89,0.87,0.28,0.39,0.10,0,21877376,0,0,21877376,0,0,21877376,0,0,21877376,0,0,21877376,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC020_IntegerValue,81,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,94,83,1115336002,1274694620,213542572,10844748,31578232,21636065,10637,532614805,853,64,0.87,0.34,0.43,0.14,0,21875496,0,0,21875496,0,0,21875496,0,0,21875496,0,0,21875496,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC021_LooplessParsing,83,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,89,88,1098513388,1215571539,211957222,10543043,31865119,22251329,10468,465559111,850,43,0.90,0.28,0.38,0.11,0,21879136,0,0,21879136,0,0,21879136,0,0,21879136,0,0,21879136,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC022_LooplessParsing2,80,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,75,62,1130595500,1183230950,208649235,10435480,29790141,21209705,10533,461613284,831,48,0.96,0.28,0.37,0.12,0,21880104,0,0,21880104,0,0,21880104,0,0,21880104,0,0,21880104,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC025_MutateData,0,ERROR,0,0,267572419,307837185,49425896,3280852,5738466,5371750,7961,93122792,164,15,0.87,0.11,0.06,0.06,0,22104912,0,0,22104912,0,0,22104912,0,0,22104912,0,0,22104912,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC027_SizedMap,67,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,71,78,1101264205,1124169374,214014598,10522590,29898969,21762666,10304,429970994,792,25,0.98,0.26,0.36,0.09,0,21880408,0,0,21880408,0,0,21880408,0,0,21880408,0,0,21880408,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC030_OpenMap,70,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,90,79,1131739825,1218993691,216424306,10834578,33119750,22645377,10491,486605307,868,36,0.93,0.29,0.40,0.12,0,21876168,0,0,21876168,0,0,21876168,0,0,21876168,0,0,21876168,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC031_OpenMapLessCasting,59,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,60,65,1144391807,1098455240,213613763,10605179,30867589,20537266,10490,367677895,871,17,1.04,0.22,0.30,0.09,0,21876208,0,0,21876208,0,0,21876208,0,0,21876208,0,0,21876208,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC033_SimplerLambda,77,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,63,87,1136057264,1097715323,211691680,10374207,29737598,20892442,10498,358484463,850,22,1.03,0.21,0.30,0.08,0,21875912,0,0,21875912,0,0,21875912,0,0,21875912,0,0,21875912,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC035_NoLambda,57,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,55,46,1109194237,1117473316,204676587,10282052,30220761,20866151,10325,386922434,887,22,0.99,0.22,0.32,0.09,0,21875936,0,0,21875936,0,0,21875936,0,0,21875936,0,0,21875936,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC036_TurnedIfs,53,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,63,45,1176878504,1171352967,225479590,10744446,34294083,23369632,11168,395412437,797,9,1.00,0.22,0.31,0.11,0,21878848,0,0,21878848,0,0,21878848,0,0,21878848,0,0,21878848,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC037_LessNullChecks,53,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,52,62,1082697465,1032676406,206130817,10069282,27258453,20044436,10403,336252973,852,14,1.05,0.20,0.28,0.08,0,21876128,0,0,21876128,0,0,21876128,0,0,21876128,0,0,21876128,0
