JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC100_DirectTempWrite,46,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,45,59,973059678,909110453,180610925,8906893,23555201,17853529,10052,345179498,554,14,1.07,0.25,0.28,0.10,0,21879416,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC101_ParseFrom65_VOID,53,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,43,55,942463440,903871642,179628491,8937812,23623487,18352220,10048,348466797,568,17,1.04,0.22,0.28,0.09,0,21877736,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC105_ParseTemp_95,67,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,58,53,925463045,979615871,178632839,9234553,26700339,20262728,9858,398318563,622,20,0.94,0.26,0.31,0.12,0,21876752,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC106_ParseTemp_105,49,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,50,47,968592849,943965470,176597021,9132764,25171048,18433129,10038,384693244,553,17,1.03,0.25,0.33,0.09,0,21878056,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC107_ParseTemp,45,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,103,51,960745615,1171312589,182944394,9939931,27837578,21067087,10142,686672854,871,123,0.82,0.47,0.55,0.17,0,21880488,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC110_EqualsCitySplit,43,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,42,70,915129600,888760839,178212056,8877957,22677981,18311366,10157,335051536,579,20,1.03,0.22,0.28,0.08,0,21877768,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC111_EqualsCitySplit_Reverse,77,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,67,64,961464827,874593155,176293819,9097191,24491066,18583648,10087,543815771,569,18,1.10,0.34,0.43,0.15,0,21878112,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC112_EqualsCityMismatch,0,ERROR,0,0,229268146,298033213,43394946,3386232,6383321,5938692,8062,181321129,145,14,0.77,0.21,0.10,0.12,0,21877648,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC113_EqualsCityMismatchSimple,0,ERROR,0,0,220854529,269522461,45104081,3101376,4910044,4710814,8045,86030108,146,12,0.82,0.10,0.05,0.06,0,21880384,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC010_NoStream,83,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,89,83,1340298162,1254988946,247308733,12199814,37947133,23392354,11595,501831332,807,12,1.07,0.27,0.42,0.11,0,21845184,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC012_SplitRemoved,97,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,75,76,1250388308,1181705035,231011238,11229318,36557110,21949995,11018,441181507,780,29,1.06,0.24,0.38,0.09,0,21879376,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC014_NewParseDouble,62,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,63,64,1140884996,1068002646,212868193,10342724,29506857,20932123,10892,391612886,849,14,1.07,0.23,0.32,0.09,0,21876520,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260511-111208,org.onebrc.again26.BRC015_ParseDoubleSimpler1,83,voBUT+lhssgXHcvCE+YPWG+wPNZQYAqMgRlIGp0sfdurdBLnnhxfTxhY/+TBwn1tHiyBEpGKTje339QcrDz9Lg==,68,77,1127064550,1106009533,212711285,10564355,31714222,21331934,10716,420847860,850,73,1.02,0.26,0.34,0.10,0,21876696,0
