JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC014_NewParseDouble,59,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,55,69,1162155310,1105492767,216364228,10656581,31150547,20700891,10936,356257288,808,16,1.05,0.21,0.30,0.08,0,21876440,0,0,21876440,0,0,21876440,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC015_ParseDoubleSimpler1,69,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,59,57,1113093823,1138445850,221080492,10502312,30315487,21061928,10782,382457818,867,17,0.98,0.23,0.31,0.09,0,21880280,0,0,21880280,0,0,21880280,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC016_NoExtraString,59,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,55,71,1150030833,1061631417,207002511,10418988,28946644,19712458,10618,350693066,825,17,1.08,0.21,0.28,0.09,0,21875992,0,0,21875992,0,0,21875992,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC017_ParseDoubleSimpler2,59,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,66,55,1147762461,1093619097,216710913,10530878,29664297,20869167,10641,411300956,822,18,1.05,0.25,0.33,0.11,0,21879928,0,0,21879928,0,0,21879928,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC020_IntegerValue,56,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,53,76,1087342712,1052557162,213611280,10211795,29723078,20431502,10560,336975434,848,8,1.03,0.22,0.27,0.08,0,21876360,0,0,21876360,0,0,21876360,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC021_LooplessParsing,57,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,60,77,1136285650,1100036056,209694167,10305786,29446431,20411195,10573,366178683,817,16,1.03,0.22,0.29,0.10,0,21876144,0,0,21876144,0,0,21876144,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC022_LooplessParsing2,62,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,70,77,1115966447,1205414420,208809378,10646679,29578923,20410710,10539,419896834,860,43,0.93,0.24,0.35,0.09,0,21878560,0,0,21878560,0,0,21878560,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC025_MutateData,0,ERROR,0,0,263304549,307168908,49743251,3334700,5694748,5350364,7977,96382431,157,10,0.86,0.11,0.06,0.06,0,22108040,0,0,22108040,0,0,22108040,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC027_SizedMap,77,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,80,56,1121103389,1235184376,205269463,10522475,29290512,20776009,10497,464280109,851,15,0.91,0.28,0.38,0.11,0,21878712,0,0,21878712,0,0,21878712,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC030_OpenMap,57,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,77,54,1129361096,1069681795,199569064,10329866,30153355,20777618,10434,429192764,909,17,1.06,0.25,0.36,0.09,0,21877184,0,0,21877184,0,0,21877184,0
