JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC100_DirectTempWrite,34,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,36,41,956205234,917310921,180838904,8811922,22959382,17872377,10085,270675808,587,14,1.04,0.19,0.21,0.08,0,21879392,0,0,21879392,0,0,21879392,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC101_ParseFrom65_VOID,33,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,38,33,954841425,985668788,177050717,8931018,20238128,16750956,10093,293411865,593,21,0.97,0.19,0.24,0.07,0,21876216,0,0,21876216,0,0,21876216,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC105_ParseTemp_95,34,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,36,36,947993074,969411570,183121802,9031070,24501807,19137889,10130,295988653,560,13,0.98,0.19,0.23,0.09,0,21877240,0,0,21877240,0,0,21877240,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC106_ParseTemp_105,42,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,43,34,939082646,985849433,176347974,9058808,25828911,19193578,10001,300875678,577,25,0.95,0.21,0.24,0.08,0,21879992,0,0,21879992,0,0,21879992,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC107_ParseTemp,35,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,34,34,932425555,903500033,177929860,8993069,23793696,17963261,10055,276999553,555,17,1.03,0.19,0.23,0.07,0,21878712,0,0,21878712,0,0,21878712,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC110_EqualsCitySplit,34,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,37,38,966501535,949978411,178260364,8980881,25180534,17682871,10041,287787008,520,19,1.02,0.18,0.22,0.08,0,21878800,0,0,21878800,0,0,21878800,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC111_EqualsCitySplit_Reverse,35,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,36,34,961152802,905705759,177600287,8876033,22318169,17634739,9979,282573613,581,15,1.06,0.19,0.22,0.08,0,21878936,0,0,21878936,0,0,21878936,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC112_EqualsCityMismatch,0,ERROR,0,0,220384053,270763539,42761173,3128097,4851325,4742598,8044,76876923,151,11,0.81,0.09,0.04,0.05,0,21879840,0,0,21879840,0,0,21879840,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC113_EqualsCityMismatchSimple,0,ERROR,0,0,225903279,274228294,41514713,3081884,4977235,4697446,8038,79626813,139,12,0.82,0.10,0.04,0.06,0,21878752,0,0,21878752,0,0,21878752,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC010_NoStream,81,KKnym6bvAbvJKBh8OQTRvGyt/dxiPRE3zLCyGPqKquKooIT05rf/fD3F0IDhM9ZF4n0bSRi6c4x84xf0llwtoA==,81,75,1308479172,1281636981,241047335,12055896,40196084,24008707,11357,425600669,835,11,1.02,0.25,0.35,0.10,0,21878912,0,0,21878912,0,0,21878912,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC012_SplitRemoved,66,KKnym6bvAbvJKBh8OQTRvGyt/dxiPRE3zLCyGPqKquKooIT05rf/fD3F0IDhM9ZF4n0bSRi6c4x84xf0llwtoA==,80,58,1275134437,1283420495,243571748,11808454,40709573,24278212,11178,432179821,887,13,0.99,0.24,0.36,0.09,0,21877512,0,0,21877512,0,0,21877512,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC014_NewParseDouble,54,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,56,62,1167949557,1130323490,219073946,10794733,31838999,20669101,11002,366555645,828,12,1.03,0.21,0.32,0.07,0,21879024,0,0,21879024,0,0,21879024,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-215342,org.onebrc.again26.BRC015_ParseDoubleSimpler1,56,OLmpjJYZirGroHNkK6ClaXESmpBUD7OE6AwSt62LUd04Rp7+XMFQIf9HqoG+IyX6j+8LBCbMRtD5d0M4apQY6A==,60,67,1137383646,1187491117,217362874,10665858,33095208,20898342,10908,380300751,746,20,0.96,0.22,0.31,0.09,0,21876376,0,0,21876376,0,0,21876376,0
